02019,42.09,-71.47,,,,,,,
02020,42.08,-70.64,,,,,,,
02021,42.15,-71.13,,,,,,,
02025,42.23,-70.8,,,,,,,
02026,42.24,-71.17,,,,,,,
02027,42.24,-71.17,,,,,,,
02030,42.24,-71.27,,,,,,,
02031,42.02,-71.17,,,,,,,
02032,42.15,-71.21,,,,,,,
02035,42.06,-71.24,,,,,,,
02038,42.08,-71.38,,,,,,,
02040,42.19,-70.76,,,,,,,
02041,42.1,-70.71,,,,,,,
02043,42.23,-70.88,,,,,,,
02044,42.23,-70.88,,,,,,,
02045,42.3,-70.9,,,,,,,
02047,42.13,-70.69,,,,,,,
02048,42.02,-71.21,,,,,,,
02050,42.09,-70.7,,,,,,,
02051,42.15,-70.73,,,,,,,
02052,42.18,-71.3,,,,,,,
02053,42.16,-71.43,,,,,,,
02054,42.16,-71.35,,,,,,,
02055,42.19,-70.76,,,,,,,
02056,42.11,-71.31,,,,,,,
02059,42.1,-70.71,,,,,,,
02060,42.21,-70.76,,,,,,,
02061,42.16,-70.78,,,,,,,
02062,42.18,-71.19,,,,,,,
02065,42.1,-70.71,,,,,,,
02066,42.18,-70.73,,,,,,,
02067,42.11,-71.18,,,,,,,
02070,42.05,-71.35,,,,,,,
02071,42.1,-71.27,,,,,,,
02072,42.11,-71.1,,,,,,,
02081,42.13,-71.24,,,,,,,
02090,42.21,-71.21,,,,,,,
02093,42.06,-71.33,,,,,,,
02108,42.36,-71.06,,,,,,,
02109,42.37,-71.05,,,,,,,
02110,42.36,-71.05,,,,,,,
02111,42.35,-71.06,,,,,,,
02112,42.35,-71.06,,,,,,,
02113,42.37,-71.06,,,,,,,
02114,42.36,-71.07,,,,,,,
02115,42.34,-71.1,,,,,,,
02116,42.35,-71.08,,,,,,,
02117,42.35,-71.06,,,,,,,
02118,42.34,-71.07,,,,,,,
02119,42.32,-71.09,,,,,,,
02120,42.33,-71.1,,,,,,,
02121,42.31,-71.09,,,,,,,
02122,42.29,-71.04,,,,,,,
02123,42.35,-71.06,,,,,,,
02124,42.29,-71.07,,,,,,,
02125,42.32,-71.06,,,,,,,
02126,42.27,-71.1,,,,,,,
02127,42.33,-71.04,,,,,,,
02128,42.36,-71.01,,,,,,,
02129,42.38,-71.06,,,,,,,
02130,42.3,-71.11,,,,,,,
02131,42.28,-71.13,,,,,,,
02132,42.28,-71.16,,,,,,,
02133,42.35,-71.06,,,,,,,
02134,42.35,-71.13,,,,,,,
02135,42.35,-71.15,,,,,,,
02136,42.26,-71.13,,,,,,,
02137,42.25,-71.12,,,,,,,
02138,42.38,-71.14,,,,,,,
02139,42.37,-71.11,,,,,,,
02140,42.39,-71.13,,,,,,,
02141,42.37,-71.08,,,,,,,
02142,42.36,-71.08,,,,,,,
02143,42.38,-71.1,,,,,,,
02144,42.4,-71.12,,,,,,,
02145,42.39,-71.1,,,,,,,
02148,42.43,-71.05,,,,,,,
02149,42.4,-71.05,,,,,,,
02150,42.39,-71.03,,,,,,,
02151,42.41,-70.99,,,,,,,
02152,42.37,-70.98,,,,,,,
02153,42.42,-71.1,,,,,,,
02155,42.42,-71.1,,,,,,,
02156,42.42,-71.13,,,,,,,
02163,42.37,-71.12,,,,,,,
02169,42.26,-71,,,,,,,
02170,42.27,-71.02,,,,,,,
02171,42.29,-71.02,,,,,,,
02176,42.45,-71.05,,,,,,,
02180,42.47,-71.09,,,,,,,
02184,42.2,-71,,,,,,,
02185,42.2,-71,,,,,,,
02186,42.24,-71.08,,,,,,,
02187,42.26,-71.08,,,,,,,
02188,42.2,-70.96,,,,,,,
02189,42.2,-70.94,,,,,,,
02190,42.17,-70.95,,,,,,,
02191,42.24,-70.94,,,,,,,
02196,42.35,-71.06,,,,,,,
02199,42.35,-71.08,,,,,,,
02201,42.35,-71.06,,,,,,,
02203,42.36,-71.06,,,,,,,
02204,42.35,-71.06,,,,,,,
02205,42.35,-71.06,,,,,,,
02206,42.35,-71.06,,,,,,,
02207,42.35,-71.05,,,,,,,
02210,42.35,-71.04,,,,,,,
02211,42.35,-71.06,,,,,,,
02212,42.35,-71.06,,,,,,,
02215,42.35,-71.1,,,,,,,
02216,42.34,-71.07,,,,,,,
02217,42.35,-71.06,,,,,,,
02222,42.35,-71.06,,,,,,,
02228,42.35,-71.06,,,,,,,
02238,42.37,-71.11,,,,,,,
02239,42.36,-71.1,,,,,,,
02241,42.35,-71.06,,,,,,,
02266,42.35,-71.06,,,,,,,
02269,42.26,-71,,,,,,,
02283,42.35,-71.06,,,,,,,
02284,42.35,-71.06,,,,,,,
02293,42.35,-71.06,,,,,,,
02295,42.35,-71.06,,,,,,,
02297,42.35,-71.06,,,,,,,
02298,42.34,-71.05,,,,,,,
02301,42.08,-71.02,,,,,,,
02302,42.09,-71,,,,,,,
02303,42.08,-71.02,,,,,,,
02304,42.08,-71.02,,,,,,,
02305,42.08,-71.02,,,,,,,
02322,42.13,-71.05,,,,,,,
02324,41.98,-70.97,,,,,,,
02325,41.98,-70.97,,,,,,,
02327,42.06,-70.8,,,,,,,
02330,41.88,-70.76,,,,,,,
02331,42.04,-70.67,,,,,,,
02332,42.04,-70.67,,,,,,,
02333,42.03,-70.95,,,,,,,